US Census 2019 Estimated Population Density in Persons Per Square Mile,,
Data Source: U.S. Bureau of the Census( http://census.gov ),,
Tue Apr 07 19:48:22 2020,,
State,Area,Density_persons_per_square_mile
California,Glenn,21.35
California,Humboldt,38.22
California,Imperial,43.55
California,Inyo,1.76
California,Kern,110.27
California,Kings,108.87
California,Lake,51.24
California,Lassen,6.78
California,Los Angeles,2489.87
California,Madera,73.78
California,Marin,498.93
California,Mariposa,12.06
California,Mendocino,24.98
California,Merced,141.92
California,Modoc,2.22
California,Mono,4.67
California,Monterey,132.73
California,Napa,186.32
California,Nevada,104.09
California,Orange,4018.58
California,Placer,279.41
California,Plumas,7.37
California,Riverside,339.96
California,Sacramento,1596.45
California,San Benito,44.31
California,San Bernardino,108.21
California,San Diego,794.11
California,San Francisco,18833.80
California,San Joaquin,540.58
California,San Luis Obispo,86.05
California,San Mateo,1715.32
California,Santa Barbara,163.25
California,Santa Clara,1500.74
California,Santa Cruz,616.16
California,Shasta,47.69
California,Sierra,3.13
California,Siskiyou,6.96
California,Solano,543.45
California,Sonoma,317.30
California,Stanislaus,367.52
California,Sutter,160.67
California,Tehama,21.67
California,Trinity,3.94
California,Tulare,96.57
California,Tuolumne,24.56
California,Ventura,461.86
California,Yolo,217.21
California,Yuba,123.48
Colorado,Adams,438.88
Colorado,Alamosa,23.09
Colorado,Arapahoe,816.10
Colorado,Archuleta,10.20
Colorado,Baca,1.40
Colorado,Bent,3.89
Colorado,Boulder,448.91
Colorado,Broomfield,2099.00
Colorado,Chaffee,19.76
Colorado,Cheyenne,1.05
Colorado,Clear Creek,24.31
Colorado,Conejos,6.37
Colorado,Costilla,3.12
Colorado,Crowley,7.44
Colorado,Custer,6.71
Colorado,Delta,27.10
Colorado,Denver,4674.09
Colorado,Dolores,1.94
Colorado,Douglas,407.95
Colorado,Eagle,32.65
Colorado,El Paso,335.64
Colorado,Elbert,14.20
Colorado,Fremont,31.32
Colorado,Garfield,20.28
Colorado,Gilpin,40.80
Colorado,Grand,8.41
Colorado,Gunnison,5.32
Colorado,Hinsdale,0.73
Colorado,Huerfano,4.33
Colorado,Jackson,0.87
Colorado,Jefferson,759.13
Colorado,Kiowa,0.78
Colorado,Kit Carson,3.31
Colorado,La Plata,33.33
Colorado,Lake,20.76
Colorado,Larimer,135.03
Colorado,Las Animas,3.04
Colorado,Lincoln,2.18
Colorado,Logan,11.71
